seed,task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
123,sst2,mrpc,sst2+mrpc,ties,1.0,0.2,sst2,1.1069626808166504,0.7213302752293578,0.7567567567567568,0.7213302752293578,0.7660550458715596,0.9416167664670659,-0.044724770642201817
123,sst2,mrpc,sst2+mrpc,ties,1.0,0.2,mrpc,1.132517695426941,0.7254901960784313,0.8271604938271605,0.8271604938271605,0.832520325203252,0.9935619212962963,-0.005359831376091528
123,sst2,rte,sst2+rte,mean,1.0,,sst2,1.245449185371399,0.6330275229357798,0.7246127366609294,0.6330275229357798,0.7660550458715596,0.8263473053892215,-0.1330275229357798
123,sst2,rte,sst2+rte,mean,1.0,,rte,1.3616143465042114,0.5595667870036101,0.4351851851851852,0.5595667870036101,0.6064981949458483,0.9226190476190476,-0.04693140794223827
123,sst2,rte,sst2+rte,task_arithmetic,0.75,,sst2,1.323171615600586,0.625,0.72544080604534,0.625,0.7660550458715596,0.815868263473054,-0.1410550458715596
123,sst2,rte,sst2+rte,task_arithmetic,0.75,,rte,1.3826897144317627,0.555956678700361,0.5527272727272727,0.555956678700361,0.6064981949458483,0.9166666666666667,-0.050541516245487306
123,sst2,rte,sst2+rte,ties,1.0,0.2,sst2,1.1547926664352417,0.6857798165137615,0.7467652495378928,0.6857798165137615,0.7660550458715596,0.8952095808383235,-0.08027522935779807
123,sst2,rte,sst2+rte,ties,1.0,0.2,rte,1.386030673980713,0.5379061371841155,0.42342342342342343,0.5379061371841155,0.6064981949458483,0.886904761904762,-0.06859205776173283
123,imdb,mrpc,imdb+mrpc,mean,1.0,,imdb,1.22616708278656,0.6605,0.7271996785857774,0.6605,0.7795,0.8473380372033354,-0.119
123,imdb,mrpc,imdb+mrpc,mean,1.0,,mrpc,1.16973078250885,0.7034313725490197,0.8212703101920237,0.8212703101920237,0.832520325203252,0.9864867983751847,-0.011250015011228354
123,imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,imdb,1.2748911380767822,0.628,0.7171102661596959,0.628,0.7795,0.8056446440025657,-0.15149999999999997
123,imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,mrpc,1.1495797634124756,0.7058823529411765,0.8181818181818182,0.8181818181818182,0.832520325203252,0.9827769886363636,-0.0143385070214338
123,imdb,mrpc,imdb+mrpc,ties,1.0,0.2,imdb,1.129780888557434,0.718,0.7573149741824441,0.718,0.7795,0.9211032713277743,-0.0615
123,imdb,mrpc,imdb+mrpc,ties,1.0,0.2,mrpc,1.1603262424468994,0.7083333333333334,0.8215892053973014,0.8215892053973014,0.832520325203252,0.9868698463268366,-0.010931119805950629
123,imdb,rte,imdb+rte,mean,1.0,,imdb,1.212746024131775,0.68,0.7353184449958643,0.68,0.7795,0.8723540731237974,-0.09949999999999992
123,imdb,rte,imdb+rte,mean,1.0,,rte,1.3749480247497559,0.5631768953068592,0.5399239543726235,0.5631768953068592,0.6064981949458483,0.9285714285714286,-0.04332129963898912
